000805,2691,181,1595,26088,2492,185507,4700,16921,18891,165,5135,577,18058,125,20836,1444,101274,13166,3734,352036,31036,170,8071,3730,23779,51718,12262,50537,3814,22718
000919,133656,20523,16921,726,577,18058,11109,13166,3734,31036,50537,7815,18348,29121,235862,70558,14226,6652,2379,36,20520,27662,225557,10510,3294,112769,3559,3200,12670,46229
007290,118,133656,16921,5135,13314,2272,577,18058,23117,1444,298,13166,7207,53,5774,17336,11602,352036,58564,170,10289,199280,44838,50537,245063,7815,26176,7,200745,11659
000686,29781,4551,70558,363,80349,5238,195246,153348,92285,152028,396392,332745,421179,301017,62420,146077,295977,127280,225729,406279,44748,308912,241586,100154
028666,65692,9751,111905,48786,25605
035989,2691,181,2641,47771,19048,6,118,133656,1595,134282,22,26088,2492,20523,29781,4700,16921,726,18891,31,165,99171,5135,13314,26450,2272,132777,577,1576,164876
007224,83136,41208,199280,10213,30159,6759,20520,204843,274815,201146,38420,38962,30303,45124,38856,188903,40384,41467,31679,147001,16608,672,193990,129017,130432,181611,47728,133197,204471,507
004253,49052,46434,265985,71517
001352,133656,99171,20836,13166,352036,121852,68834,45050,3943,218156,3559,45026,179864,92213,3460,3857,15958,80268,65866,135061,3262,224287,21807,90659,90697,3458,189618,41492,1266,291622
022311,2691,181,2492,20523,26450,18058,11109,126238,21152,23779,312780,2125,18030,65128,235862,110004,6538,145566,45050,29627,37993,215154,11096,1432,38420,38962,20295,539,219471,68080
000930,1595,2492,16921,726,18891,99171,13314,2272,20836,866,11109,7207,11602,21152,7,213,121852,118033,14226,9664,1164,68834,72251,2306,27750,9573,23142,123063,10079,104500
028746,256867,262226,253054,255813,129880,270838
036041,151607
003277,133656,99171,200500,200745,11659,30159,169156,152897,139290,123063,1194,15011,50,201146,81481,163915,146907,183236,232356,3200,151216,38856,10,71260,56322,342759,78596,40384,168622,2746
004505
022047
008013,2492,29781,3466,250269,564,81986,22787,246736,48374,50778,172316,260444,77528,43594,236217,31118,28630,70713,225843,322038,10553,320812,31266,316319,19009,49557,105346,319238,58999,105732
000159,2715,18375,10425,9198,7292,13169,13530,24398,23245,5011,22955,7251,14714,30640,14565,268871,16362,58249,121876,81413
000887
173082,376920,38420,192060,66369,348937,353013,381825,74547,192182,338267,331552,340789,15536,138759,339759,359906,395858,196788,338188,232910,359396,411742,272061,335936,341655,358629,381558,406327,30864,54523
011887,26088,20523,29781,16921,4551,26450,132777,20836,1444,198061,866,11109,298,13166,53,4220,3734,5774,17336,3931,41208,253632,108007,7948,72774,12262,229092,7815,200500,312780
011032,26088,26450,33780,31036,32318,213,152897,145566,2499,5747,35956,31238,3559,34465,5115,31746,58242,86429,143705,256563,167483,60777,30729,38403,23036,38001,254114,31088,7581,34616
004856,1444,3734,17336,5344,1194,3559,25632,40384,27005,22768,30456,277,15971,499,32246,18119,23238,30141,10774,13342,24484,26862,24193,52645,24059
000183,38403,12854,4165,4451,16218,11628,4575,156852,3463,4239,5502,16557,32357,1998,6976,59559,5912,11595,13605,1966,5969,7782,8168,8222,10353,10945,18862,32248,9267,12789
007828,133656,23117,131138,22502,195456,195446,47325,218604,135656,160396,183175,26917,134521,181522,103718,218530,24556,148094
006633,43685,320175,21362
002116,9664,6538,10079,10510,10578,11414,9365,6478,6498,7774,9198,6314,6455,8779,8572,6653,7048,7467,7308,6688,6963,11266,6318,6807,6838,7644,6404,6746,9299,9763
053690,99171,20836,170,202879,200500,29121,200745,2356,61783,376920,14099,204843,274815,310119,112769,43471,108911,280665,269298,178174,215654,179733,129478,10425,116355,376772,326427,23036,34724,130017
001390,2691,20523,5135,63152,62092,20514,555,70558,74542,100041,283,217995,11414,12209,33796,133155,92065,86351,65276,71357,4429,71720,25068,64147,66186,157843,29616,158552,35414,105115
074500,181,2641,6,4700,16921,31,99171,13314,132777,20836,63152,3734,52274,17336,352036,21152,108007,199280,23391,96739,312780,29121,11659,30159,61783,332819,6067,11691,376920,145566
